## This file was created at AspGD on Thu Sep 24 08:59:44 PDT 2009
Afu5g11810	ASPL0000062573	nudA
Afu3g10280	ASPL0000070859	AN4959
Afu1g03410	ASPL0000058321	AN0260
Afu3g06730	ASPL0000032457	AN8400
Afu3g04240	ASPL0000058180	AN9410
Afu3g11810	ASPL0000037827	AN10373
Afu4g12270	ASPL0000012160	AN3659
Afu5g13020	ASPL0000002116	AN10855
Afu2g04170	ASPL0000041913	AN1902
Afu2g13710	ASPL0000048405	AN2414
Afu6g03620	ASPL0000028972	AN11243
Afu6g08000	ASPL0000015705	gmdA
Afu4g09960	ASPL0000051403	AN2055
Afu2g11150	ASPL0000003017	AN5895
Afu4g13500	ASPL0000033656	AN5644
Afu2g04670	ASPL0000047793	AN2066
Afu4g00990	ASPL0000037523	AN3220
Afu4g11180	ASPL0000029025	AN5617
Afu7g03740	ASPL0000017354	AN8283
Afu2g07900	ASPL0000002821	stuA
Afu4g07090	ASPL0000073041	AN4418
Afu3g06610	ASPL0000076235	AN4775
Afu7g01270	ASPL0000039840	AN3373
Afu4g04730	ASPL0000068086	AN6979
Afu6g05260	ASPL0000004421	AN6496
Afu5g07210	ASPL0000043538	AN2229
Afu5g06530	ASPL0000043489	AN2261
Afu1g04120	ASPL0000018093	AN10495
Afu2g04110	ASPL0000027646	AN5224
Afu6g14170	ASPL0000027592	AN5347
Afu5g09470	ASPL0000076147	AN8814
Afu8g04120	ASPL0000047947	AN1426
Afu1g16220	ASPL0000056292	AN0937
Afu4g12950	ASPL0000015827	AN3584
Afu1g10370	ASPL0000056486	AN1243
Afu5g11310	ASPL0000058502	AN0172
Afu5g12530	ASPL0000051993	AN0056
Afu1g03950	ASPL0000015430	AN4042
Afu6g07860	ASPL0000011185	creC
Afu1g12950	ASPL0000057244	AN1018
Afu8g01850	ASPL0000045405	AN8956
Afu2g05910	ASPL0000069760	AN7459
Afu6g07770	ASPL0000049393	AN1923
Afu8g04080	ASPL0000046037	AN1430
Afu5g04420	ASPL0000031751	AN5098
Afu5g05710	ASPL0000074111	swoC
Afu1g16210	ASPL0000053274	AN0936
Afu6g12560	ASPL0000012105	AN3691
Afu2g11490	ASPL0000001319	AN5867
Afu5g02420	ASPL0000009101	AN8015
Afu5g11080	ASPL0000058170	AN0201
Afu5g12510	ASPL0000056964	AN0054
Afu6g12570	ASPL0000009763	AN3696
Afu3g08290	ASPL0000035644	AN10351
Afu1g11830	ASPL0000055026	AN1109
Afu2g16510	ASPL0000066135	AN7335
Afu3g07820	ASPL0000034636	AN2917
Afu1g05410	ASPL0000013784	AN4065
Afu4g04680	ASPL0000067422	AN6985
Afu4g11630	ASPL0000030686	AN5573
Afu2g15230	ASPL0000067530	bzuA
Afu4g07620	ASPL0000070901	AN9435
Afu4g09210	ASPL0000048267	AN1612
Afu4g07020	ASPL0000072269	AN4424
Afu6g11970	ASPL0000017148	AN7870
Afu4g13250	ASPL0000051407	AN1935
Afu5g00710	ASPL0000038185	AN3345
Afu1g13440	ASPL0000045279	AN1586
Afu1g16790	ASPL0000053884	AN0989
Afu1g04580	ASPL0000052423	AN0439
Afu6g04530	ASPL0000008178	AN6567
Afu5g05960	ASPL0000076133	AN8830
Afu6g03320	ASPL0000034323	AN3264
Afu2g06320	ASPL0000065893	AN7423
Afu1g06410	ASPL0000016021	AN4239
Afu5g05980	ASPL0000074141	cmkC
Afu2g02140	ASPL0000074481	AN4593
Afu2g04220	ASPL0000046568	AN1897
Afu2g14200	ASPL0000003628	AN6347
Afu6g12760	ASPL0000014407	AN10439
Afu3g11870	ASPL0000034848	AN2861
Afu3g01700	ASPL0000027429	AN5304
Afu1g17240	ASPL0000002907	AN6396
Afu4g06380	ASPL0000076843	AN4353
Afu5g12090	ASPL0000056000	AN0093
Afu5g02730	ASPL0000013708	AN8120
Afu6g11230	ASPL0000057483	AN0568
Afu6g03020	ASPL0000075133	AN8757
Afu5g08630	ASPL0000072247	AN10589
Afu1g16950	ASPL0000056162	AN0636
Afu7g05530	ASPL0000005905	AN6707
Afu2g10850	ASPL0000002503	AN5924
Afu2g14590	ASPL0000044841	AN1797
Afu1g11580	ASPL0000053597	AN1138
Afu3g05960	ASPL0000035037	nup37
Afu2g00710	ASPL0000039319	amyB
Afu8g02310	ASPL0000050604	AN9034
Afu8g06460	ASPL0000073079	AN8655
Afu3g13490	ASPL0000036472	AN3155
Afu2g14990	ASPL0000065841	tubB
Afu7g05750	ASPL0000002629	AN6718
Afu6g09020	ASPL0000041881	AN1775
Afu2g09450	ASPL0000002730	AN6095
Afu4g06420	ASPL0000072767	AN10548
Afu7g02470	ASPL0000039454	AN9065
Afu2g11750	ASPL0000008271	AN10778
Afu4g06040	ASPL0000077515	AN4312
Afu2g06110	ASPL0000066539	AN7441
Afu5g06780	ASPL0000042502	AN2243
Afu2g05530	ASPL0000069444	AN10956
Afu5g04340	ASPL0000009383	AN4285
Afu7g02180	ASPL0000037237	AN9094
Afu5g07770	ASPL0000064871	AN11022
Afu5g04260	ASPL0000009827	AN8279
Afu6g01860	ASPL0000049763	AN1577
Afu8g04830	ASPL0000047789	AN10201
Afu8g04410	ASPL0000044354	AN1453
Afu6g14280	ASPL0000031080	AN5338
Afu6g05100	ASPL0000003720	AN10824
Afu4g13130	ASPL0000017814	AN4160
Afu4g10460	ASPL0000049641	AN1990
Afu3g05900	ASPL0000040884	AN3422
Afu5g12420	ASPL0000062217	AN10010
Afu5g13320	ASPL0000007535	AN6890
Afu1g11160	ASPL0000054087	AN1164
Afu7g00950	ASPL0000039844	AN3357
Afu2g04370	ASPL0000045538	AN1879
Afu4g11960	ASPL0000011945	AN3632
Afu3g12970	ASPL0000039512	AN10377
Afu1g11650	ASPL0000056122	AN1129
Afu8g07240	ASPL0000014575	AN3515
Afu6g13190	ASPL0000030970	AN5493
Afu6g11430	ASPL0000055794	AN0554
Afu6g03900	ASPL0000005335	AN6625
Afu6g12730	ASPL0000012445	AN3714
Afu8g02810	ASPL0000051237	AN8877
Afu2g13630	ASPL0000007691	AN6338
Afu3g10790	ASPL0000076245	AN4910
Afu3g06910	ASPL0000074293	AN4800
Afu5g05590	ASPL0000077145	AN8859
Afu1g03940	ASPL0000011229	AN4043
Afu1g15950	ASPL0000060405	pbsA
Afu1g06890	ASPL0000030146	AN5725
Afu7g04160	ASPL0000029194	AN5692
Afu7g01710	ASPL0000040522	AN9130
Afu3g14170	ASPL0000008666	hxtA
Afu3g06470	ASPL0000074695	AN4763
Afu6g03040	ASPL0000072953	AN11120
Afu6g00300	ASPL0000015073	AN10529
Afu2g07920	ASPL0000007806	AN5837
Afu2g07430	ASPL0000008381	AN5804
Afu1g02170	ASPL0000057717	AN0349
Afu3g11360	ASPL0000034005	AN2907
Afu1g13590	ASPL0000062626	AN0697
Afu1g17160	ASPL0000074867	AN8595
Afu5g09640	ASPL0000078242	AN8797
Afu2g05250	ASPL0000048195	AN2113
Afu1g14070	ASPL0000058645	AN0715
Afu4g03930	ASPL0000068718	AN7113
Afu4g08070	ASPL0000013276	swoF
Afu5g11560	ASPL0000062071	AN0140
Afu6g10600	ASPL0000044760	AN2441
Afu3g08660	ASPL0000041356	idpA
Afu7g02070	ASPL0000035330	AN9103
Afu4g14450	ASPL0000040524	AN2815
Afu4g11410	ASPL0000032739	AN5595
Afu6g07100	ASPL0000028132	AN5179
Afu6g08530	ASPL0000013559	AN3910
Afu7g02600	ASPL0000039474	AN9057
Afu6g06970	ASPL0000030138	AN5733
Afu5g03030	ASPL0000016834	AN8177
Afu1g10130	ASPL0000057622	AN1263
Afu1g09670	ASPL0000052148	AN1298
Afu5g07370	ASPL0000066297	AN7628
Afu2g08390	ASPL0000003994	AN6160
Afu6g05020	ASPL0000008543	AN10833
Afu7g04910	ASPL0000049651	AN2336
Afu1g01600	ASPL0000053661	cryA
Afu5g01350	ASPL0000014258	AN8083
Afu3g11120	ASPL0000076137	AN10619
Afu4g12830	ASPL0000016794	AN3594
Afu8g07270	ASPL0000041084	AN3009
Afu2g06020	ASPL0000063399	AN7450
Afu3g02780	ASPL0000077199	AN8621
Afu1g17310	ASPL0000036085	AN2814
Afu5g14660	ASPL0000039045	AN3347
Afu5g11400	ASPL0000054763	AN0161
Afu7g05800	ASPL0000005426	AN10844
Afu2g02250	ASPL0000076835	AN4603
Afu8g05210	ASPL0000044182	AN10212
Afu3g06480	ASPL0000071091	AN4764
Afu3g04200	ASPL0000053549	trm1
Afu3g06440	ASPL0000077595	AN4760
Afu6g02020	ASPL0000080347	AN9500
Afu7g04010	ASPL0000016928	AN4257
Afu6g06950	ASPL0000030956	AN5735
Afu2g13480	ASPL0000005993	AN10799
Afu2g13260	ASPL0000002748	medA
Afu4g09140	ASPL0000050437	otaA
Afu6g03530	ASPL0000002887	AN6654
Afu3g04110	ASPL0000058134	AN9398
Afu8g05640	ASPL0000046275	AN10216
Afu2g04940	ASPL0000045500	AN10257
Afu2g13030	ASPL0000001266	AN6253
Afu6g03630	ASPL0000008722	AN6649
Afu1g10620	ASPL0000060601	AN1221
Afu3g11250	ASPL0000076727	AN4873
Afu3g03010	ASPL0000035656	AN10343
Afu5g08770	ASPL0000078134	AN4699
Afu4g10570	ASPL0000049655	AN1982
Afu2g01540	ASPL0000067524	AN7680
Afu4g05980	ASPL0000078316	AN4306
Afu2g02110	ASPL0000077353	AN4590
Afu4g04360	ASPL0000068300	AN7015
Afu3g12420	ASPL0000036742	AN3091
Afu6g10890	ASPL0000062876	AN0605
Afu4g07630	ASPL0000073231	AN4469
Afu6g12300	ASPL0000011897	AN3739
Afu1g17580	ASPL0000047656	AN9004
Afu5g05770	ASPL0000071249	AN8846
Afu7g01530	ASPL0000037911	AN3417
Afu1g07640	ASPL0000031793	AN5110
Afu2g08690	ASPL0000007192	AN6125
Afu6g07690	ASPL0000044480	AN10239
Afu6g14500	ASPL0000054571	AN0233
Afu2g08230	ASPL0000010309	AN4180
Afu3g10660	ASPL0000074231	AN4923
Afu4g08020	ASPL0000016778	AN3844
Afu5g14500	ASPL0000049415	AN1681
Afu6g06770	ASPL0000028218	AN5746
Afu3g07950	ASPL0000038263	AN2959
Afu4g14590	ASPL0000011999	AN3501
Afu3g08520	ASPL0000034782	AN2984
Afu3g10080	ASPL0000073655	AN4980
Afu4g12930	ASPL0000016806	AN3586
Afu6g08250	ASPL0000013788	AN3937
Afu2g17920	ASPL0000029702	AN8550
Afu2g03420	ASPL0000076049	AN4490
Afu2g16730	ASPL0000063787	AN10925
Afu4g07380	ASPL0000078236	AN4445
Afu4g08740	ASPL0000049671	AN10221
Afu7g05720	ASPL0000001752	AN6708
Afu6g03590	ASPL0000001166	mcsA
Afu4g06060	ASPL0000078296	AN4314
Afu1g15460	ASPL0000060197	AN0892
Afu3g06580	ASPL0000074691	AN4771
Afu4g03510	ASPL0000067096	AN7150
Afu3g10670	ASPL0000077841	AN4922
Afu4g07590	ASPL0000071441	AN11231
Afu5g01830	ASPL0000010253	AN8068
Afu6g10810	ASPL0000000358	AN6390
Afu2g03810	ASPL0000013866	AN3806
Afu1g06310	ASPL0000017588	AN10524
Afu4g11850	ASPL0000027740	AN5533
Afu6g07760	ASPL0000043868	AN1922
Afu1g15910	ASPL0000058977	AN0928
Afu6g12360	ASPL0000009279	AN3733
Afu2g16860	ASPL0000068836	AN7295
Afu3g09050	ASPL0000033989	AN3035
Afu3g09960	ASPL0000070825	aurA
Afu1g12760	ASPL0000054446	AN0999
Afu4g08760	ASPL0000049433	AN1673
Afu6g11570	ASPL0000015715	AN10520
Afu3g12130	ASPL0000074265	AN5027
Afu3g13150	ASPL0000035223	AN3178
Afu1g12530	ASPL0000055218	odeA
Afu2g08800	ASPL0000003097	agtA
Afu2g02020	ASPL0000074501	fmdS
Afu2g15370	ASPL0000063997	AN7591
Afu5g07540	ASPL0000011935	AN3489
Afu6g07830	ASPL0000049357	AN1931
Afu3g13230	ASPL0000037919	AN3183
Afu5g07930	ASPL0000069702	AN7741
Afu5g10850	ASPL0000056581	AN10029
Afu5g04200	ASPL0000011321	AN8272
Afu6g07180	ASPL0000033131	AN10639
Afu5g08780	ASPL0000072963	AN4700
Afu7g04300	ASPL0000033135	AN5677
Afu1g11620	ASPL0000052577	qutA
Afu5g05500	ASPL0000072723	AN8866
Afu8g05520	ASPL0000043961	AN1541
Afu2g06150	ASPL0000064085	AN7436
Afu5g09280	ASPL0000074051	AN4729
Afu4g10070	ASPL0000050375	AN2045
Afu4g03110	ASPL0000049589	AN2475
Afu2g10890	ASPL0000000759	AN5920
Afu8g05430	ASPL0000043975	AN1533
Afu8g02610	ASPL0000047899	AN11142
Afu3g05830	ASPL0000036143	AN10409
Afu5g01980	ASPL0000014944	hdaA
Afu6g13160	ASPL0000027529	AN5494
Afu2g16150	ASPL0000041849	AN2137
Afu6g07020	ASPL0000027409	AN5169
Afu3g02720	ASPL0000059310	afoB
Afu3g14680	ASPL0000069886	AN7792
Afu3g01890	ASPL0000041352	AN3270
Afu1g09910	ASPL0000056076	AN1276
Afu1g13450	ASPL0000052768	AN0684
Afu7g07100	ASPL0000005604	AN6803
Afu5g06210	ASPL0000049294	AN2289
Afu1g07170	ASPL0000028098	AN5187
Afu2g03510	ASPL0000049240	AN2555
Afu4g11720	ASPL0000026411	AN5564
Afu4g07970	ASPL0000009421	AN10470
Afu5g08470	ASPL0000075037	AN4659
Afu2g11170	ASPL0000006319	AN5892
Afu2g01900	ASPL0000075787	AN4570
Afu3g03440	ASPL0000006341	AN6238
Afu1g15800	ASPL0000057224	AN0914
Afu5g09980	ASPL0000000286	AN6755
Afu5g09510	ASPL0000074623	AN8810
Afu2g09810	ASPL0000006688	AN6035
Afu5g02120	ASPL0000010806	AN8051
Afu6g06870	ASPL0000032949	AN5757
Afu3g01110	ASPL0000027225	AN5566
Afu8g05710	ASPL0000037775	AN9168
Afu5g08600	ASPL0000028533	AN8565
Afu2g08460	ASPL0000001573	AN6165
Afu2g11000	ASPL0000008906	AN5910
Afu2g14520	ASPL0000049881	AN2395
Afu1g10670	ASPL0000060022	AN1211
Afu5g05490	ASPL0000077121	AN8867
Afu4g06850	ASPL0000073499	AN4397
Afu5g02220	ASPL0000012305	AN11032
Afu3g10890	ASPL0000072637	AN4903
Afu3g02700	ASPL0000057851	AN1028
Afu2g08840	ASPL0000001341	AN6114
Afu1g09770	ASPL0000062948	AN1288
Afu1g14120	ASPL0000054494	AN0753
Afu1g10360	ASPL0000059638	AN1244
Afu7g02420	ASPL0000000519	AN6933
Afu4g13940	ASPL0000055963	AN0482
Afu7g06350	ASPL0000012657	AN3781
Afu2g10740	ASPL0000004890	AN10762
Afu7g02060	ASPL0000039790	AN9104
Afu6g11610	ASPL0000062862	AN0494
Afu2g03650	ASPL0000018252	AN3821
Afu5g03990	ASPL0000014988	AN11070
Afu2g06170	ASPL0000067826	AN7437
Afu1g08970	ASPL0000062269	AN1382
Afu5g05680	ASPL0000074821	AN8853
Afu4g04740	ASPL0000064315	rcc1
Afu3g07790	ASPL0000037261	AN2914
Afu5g06560	ASPL0000051055	AN2258
Afu3g09360	ASPL0000034586	AN3061
Afu4g11340	ASPL0000033497	AN5601
Afu4g03490	ASPL0000066605	AN7159
Afu3g13210	ASPL0000037157	AN3181
Afu7g00250	ASPL0000005858	tubC
Afu6g11480	ASPL0000055630	AN10084
Afu3g13930	ASPL0000035724	AN3145
Afu2g09860	ASPL0000002460	fcyB
Afu6g14620	ASPL0000046970	abfB
Afu6g03860	ASPL0000004453	AN6623
Afu2g14020	ASPL0000006233	AN6369
Afu1g03530	ASPL0000057725	AN0250
Afu1g10710	ASPL0000058626	AN1208
Afu4g06620	ASPL0000075551	gdhA
Afu2g04550	ASPL0000042557	AN1865
Afu4g08920	ASPL0000049449	AN1665
Afu6g11340	ASPL0000061619	AN0562
Afu4g02870	ASPL0000039595	AN3195
Afu4g10410	ASPL0000046209	AN1993
Afu5g07070	ASPL0000047208	AN2218
Afu2g12860	ASPL0000008810	AN6268
Afu7g04040	ASPL0000015988	AN4255
Afu3g02060	ASPL0000052622	AN0498
Afu2g01220	ASPL0000066425	AN10981
Afu5g14540	ASPL0000041144	AN3199
Afu4g06990	ASPL0000073897	AN4428
Afu5g08110	ASPL0000069016	AN7723
Afu2g08970	ASPL0000010315	AN10472
Afu3g02240	ASPL0000050243	AN10299
Afu1g12620	ASPL0000016190	AN8095
Afu3g08530	ASPL0000039061	AN2985
Afu1g06290	ASPL0000009210	AN4226
Afu1g15300	ASPL0000059141	AN0856
Afu2g00200	ASPL0000027003	AN8553
Afu4g09220	ASPL0000042643	AN1611
Afu5g01890	ASPL0000011677	AN8061
Afu3g11940	ASPL0000036283	AN2857
Afu2g14790	ASPL0000065115	AN7552
Afu2g12550	ASPL0000004844	AN6277
Afu1g02500	ASPL0000060273	AN10072
Afu4g07780	ASPL0000016067	AN3869
Afu4g04130	ASPL0000063507	AN7029
Afu2g03450	ASPL0000074057	AN4487
Afu1g14850	ASPL0000062644	AN0824
Afu4g01000	ASPL0000034189	AN3221
Afu1g17530	ASPL0000027445	AN8318
Afu6g00750	ASPL0000032405	AN8396
Afu6g09180	ASPL0000043874	AN1779
Afu2g09990	ASPL0000005832	AN6009
Afu4g00390	ASPL0000036872	AN2824
Afu5g07390	ASPL0000064239	AN7630
Afu2g02760	ASPL0000075073	AN4544
Afu7g02230	ASPL0000035772	AN9090
Afu2g05190	ASPL0000042033	AN2585
Afu3g00310	ASPL0000032849	AN8363
Afu2g05980	ASPL0000064673	AN7454
Afu2g09710	ASPL0000002509	npkA
Afu4g10360	ASPL0000042460	AN10251
Afu3g11390	ASPL0000036562	AN2904
Afu1g15960	ASPL0000052194	AN0932
Afu1g03150	ASPL0000011467	AN4094
Afu2g12110	ASPL0000002811	AN10806
Afu6g12410	ASPL0000012413	AN3730
Afu1g13850	ASPL0000055411	AN0730
Afu4g07280	ASPL0000073573	AN10558
Afu4g08520	ASPL0000047827	AN1696
Afu4g06230	ASPL0000072535	AN4328
Afu3g01840	ASPL0000009485	AN3776
Afu4g10990	ASPL0000029011	AN5633
Afu2g00840	ASPL0000067550	AN7648
Afu1g03890	ASPL0000017300	AN4046
Afu5g13040	ASPL0000006729	AN6864
Afu5g04250	ASPL0000018284	cysD
Afu2g14580	ASPL0000049353	AN1796
Afu8g01180	ASPL0000046743	AN2584
Afu1g16550	ASPL0000054271	AN0956
Afu1g05590	ASPL0000010609	AN4084
Afu1g11000	ASPL0000074855	AN10543
Afu7g04320	ASPL0000032551	AN5675
Afu4g12160	ASPL0000015503	nimE
Afu1g13750	ASPL0000059183	AN0709
Afu6g01920	ASPL0000045871	AN2320
Afu1g03800	ASPL0000015759	AN10504
Afu3g12490	ASPL0000034802	rmtB
Afu5g01840	ASPL0000014302	AN8067
Afu1g10770	ASPL0000059952	AN1199
Afu4g00950	ASPL0000039123	AN3224
Afu7g05440	ASPL0000007240	AN6696
Afu6g09190	ASPL0000045570	AN1780
Afu2g07680	ASPL0000005265	sidA
Afu2g10550	ASPL0000006901	AN5966
Afu3g09210	ASPL0000036321	AN9156
Afu3g14090	ASPL0000048013	AN2498
Afu1g07670	ASPL0000029850	AN5107
Afu3g08230	ASPL0000036838	AN2939
Afu1g15940	ASPL0000057212	AN0930
Afu1g06930	ASPL0000032753	AN5730
Afu1g06040	ASPL0000017627	AN4208
Afu5g01700	ASPL0000016218	AN8079
Afu1g10930	ASPL0000057186	mepA
Afu1g07010	ASPL0000030062	AN5166
Afu6g11320	ASPL0000058550	AN0993
Afu6g09110	ASPL0000046626	AN1766
Afu4g06890	ASPL0000046636	AN1901
Afu2g00370	ASPL0000032190	AN8361
Afu2g10860	ASPL0000004006	AN10760
Afu2g01200	ASPL0000069640	AN10999
Afu3g06520	ASPL0000072623	AN4768
Afu3g04040	ASPL0000060112	AN9395
Afu1g09270	ASPL0000059633	AN1359
Afu3g06430	ASPL0000076265	AN4759
Afu3g03400	ASPL0000004619	AN6234
Afu4g03650	ASPL0000063883	AN7143
Afu2g11850	ASPL0000001032	rpl3
Afu6g04190	ASPL0000000382	AN6608
Afu6g02730	ASPL0000074529	AN11116
Afu2g05850	ASPL0000069046	AN7465
Afu2g16720	ASPL0000064727	AN7307
Afu3g10170	ASPL0000077217	AN4971
Afu1g06600	ASPL0000031461	AN5702
Afu4g11190	ASPL0000032381	AN5616
Afu1g02350	ASPL0000058120	AN0332
Afu8g04140	ASPL0000047014	AN1424
Afu8g02130	ASPL0000048893	AN11152
Afu7g02120	ASPL0000033863	AN11174
Afu6g04950	ASPL0000007078	AN6522
Afu3g09020	ASPL0000041026	AN3033
Afu4g03220	ASPL0000045096	AN2468
Afu2g12470	ASPL0000052571	AN1150
Afu4g04520	ASPL0000069398	AN7000
Afu2g13400	ASPL0000007954	AN11244
Afu2g04230	ASPL0000051059	AN1896
Afu7g01880	ASPL0000041277	AN9116
Afu3g08980	ASPL0000040181	AN3031
Afu1g09840	ASPL0000052531	AN1281
Afu1g06300	ASPL0000014128	AN10519
Afu5g11550	ASPL0000053706	AN0141
Afu2g11010	ASPL0000007511	AN5909
Afu4g12120	ASPL0000015376	AN10449
Afu3g12650	ASPL0000041502	AN3107
Afu4g03580	ASPL0000067676	AN7152
Afu3g10720	ASPL0000074951	AN4917
Afu5g07310	ASPL0000048163	AN2236
Afu2g11900	ASPL0000007784	AN6207
Afu2g08510	ASPL0000000747	AN6147
Afu7g01220	ASPL0000036668	AN10396
Afu1g12850	ASPL0000056693	crnA
Afu6g02550	ASPL0000078212	AN11107
Afu1g07000	ASPL0000033289	uvsD
Afu4g10160	ASPL0000042868	amyR
Afu2g03310	ASPL0000075507	nsp1
Afu2g12430	ASPL0000008792	AN6284
Afu4g03920	ASPL0000064997	AN7112
Afu3g10420	ASPL0000076485	AN4945
Afu2g07880	ASPL0000007337	AN6299
Afu5g08330	ASPL0000063387	AN7700
Afu6g10240	ASPL0000033199	tcsA
Afu6g05120	ASPL0000007962	AN6508
Afu7g03830	ASPL0000015976	AN4271
Afu1g11050	ASPL0000028044	AN8467
Afu6g06960	ASPL0000026715	AN5734
Afu5g02890	ASPL0000014896	AN8165
Afu8g05010	ASPL0000044700	AN1500
Afu1g14910	ASPL0000053794	AN0831
Afu6g08760	ASPL0000046336	prnD
Afu6g02230	ASPL0000080279	AN8689
Afu6g04720	ASPL0000007918	AN6540
Afu2g11080	ASPL0000008926	AN5902
Afu4g09970	ASPL0000045925	AN2054
Afu2g05340	ASPL0000065703	AN7511
Afu2g01210	ASPL0000065093	AN7659
Afu2g09740	ASPL0000005774	AN6041
Afu4g11040	ASPL0000031671	AN5630
Afu6g01930	ASPL0000051355	AN2321
Afu3g09630	ASPL0000036023	AN3073
Afu4g04660	ASPL0000064945	AN6988
Afu5g03040	ASPL0000017715	AN8179
Afu2g05380	ASPL0000067062	AN7507
Afu3g12170	ASPL0000077815	AN5050
Afu1g14100	ASPL0000061801	AN0716
Afu2g06090	ASPL0000063757	AN10941
Afu7g05550	ASPL0000004162	AN6703
Afu4g14600	ASPL0000012744	AN3499
Afu2g10450	ASPL0000002754	AN5959
Afu1g02280	ASPL0000057128	AN0339
Afu5g02990	ASPL0000009879	AN8172
Afu5g13340	ASPL0000008393	AN6892
Afu4g06930	ASPL0000070765	AN4404
Afu1g12410	ASPL0000040260	AN2653
Afu6g08460	ASPL0000012111	AN3917
Afu1g07200	ASPL0000028723	AN5146
Afu5g03130	ASPL0000017699	AN8187
Afu2g16360	ASPL0000068180	AN10936
Afu3g09820	ASPL0000071119	AN5003
Afu4g10010	ASPL0000049377	AN2051
Afu3g13060	ASPL0000039397	AN3136
Afu6g04860	ASPL0000007055	AN6530
Afu5g02410	ASPL0000014018	AN8016
Afu5g05860	ASPL0000075603	AN8839
Afu5g08610	ASPL0000075271	AN4714
Afu1g09450	ASPL0000054807	AN1344
Afu5g08840	ASPL0000072125	AN4694
Afu2g04630	ASPL0000051389	AN2063
Afu6g08830	ASPL0000042617	AN1726
Afu3g08160	ASPL0000037981	AN2932
Afu1g10540	ASPL0000053441	AN1226
Afu1g12170	ASPL0000059994	AN1084
Afu3g13000	ASPL0000041452	AN3131
Afu3g12580	ASPL0000040762	AN3105
Afu5g13280	ASPL0000005287	AN6887
Afu5g03680	ASPL0000017134	AN8232
Afu2g09650	ASPL0000004331	AN6048
Afu4g04100	ASPL0000063501	AN7037
Afu3g14490	ASPL0000041782	AN2526
Afu1g14320	ASPL0000057654	AN0770
Afu3g11170	ASPL0000074661	AN4878
Afu1g06940	ASPL0000029479	AN5731
Afu4g13390	ASPL0000042174	nudK
Afu2g05790	ASPL0000065398	AN7472
Afu1g12240	ASPL0000056282	AN1073
Afu5g06230	ASPL0000048361	AN2287
Afu4g10950	ASPL0000026967	AN5646
Afu3g13350	ASPL0000040109	AN3170
Afu7g05670	ASPL0000004152	AN6711
Afu4g03320	ASPL0000065939	AN7173
Afu4g08060	ASPL0000014777	AN3840
Afu6g06780	ASPL0000032311	AN5747
Afu3g06770	ASPL0000074217	AN4788
Afu1g14360	ASPL0000057891	AN10120
Afu6g04880	ASPL0000005658	AN6529
Afu2g10360	ASPL0000004275	AN5952
Afu6g10550	ASPL0000047674	AN2447
Afu8g00760	ASPL0000030286	AN8358
Afu2g04750	ASPL0000045907	AN2070
Afu5g08930	ASPL0000072895	AN4688
Afu1g12150	ASPL0000053764	AN1082
Afu4g09840	ASPL0000042563	AN1857
Afu5g12650	ASPL0000060165	AN0039
Afu3g03250	ASPL0000076679	AN10602
Afu5g09210	ASPL0000051961	AN10030
Afu1g15450	ASPL0000052014	AN0893
Afu4g09130	ASPL0000045963	AN1811
Afu6g07330	ASPL0000029573	AN5199
Afu2g14100	ASPL0000006863	AN6360
Afu8g06970	ASPL0000041448	AN9183
Afu3g01370	ASPL0000026869	AN8502
Afu1g13280	ASPL0000061020	AN0667
Afu1g15230	ASPL0000061738	AN0863
Afu2g15150	ASPL0000069422	AN10972
Afu1g14700	ASPL0000052776	AN0811
Afu6g12670	ASPL0000017693	AN3707
Afu5g12710	ASPL0000000859	AN6829
Afu1g17690	ASPL0000035670	AN3399
Afu3g13420	ASPL0000037175	AN3165
Afu6g08130	ASPL0000013782	AN3945
Afu6g08980	ASPL0000046640	AN1758
Afu4g13660	ASPL0000027718	AN5656
Afu7g06090	ASPL0000003549	AN6752
Afu7g02010	ASPL0000041295	AN9108
Afu1g05040	ASPL0000039203	AN2731
Afu5g04190	ASPL0000015511	palcA
Afu3g07990	ASPL0000040382	AN2962
Afu4g10090	ASPL0000049381	AN2043
Afu1g14830	ASPL0000059489	AN0823
Afu6g10470	ASPL0000047670	AN2455
Afu2g00640	ASPL0000049302	AN2424
Afu2g08450	ASPL0000006628	AN6166
Afu5g06370	ASPL0000051027	AN2274
Afu1g12090	ASPL0000054275	AN1076
Afu4g05940	ASPL0000073071	AN4303
Afu4g14300	ASPL0000058931	AN1322
Afu1g12390	ASPL0000061577	AN1055
Afu3g06120	ASPL0000038406	AN10340
Afu7g04310	ASPL0000029228	AN5676
Afu6g07670	ASPL0000049407	AN1915
Afu5g04160	ASPL0000013038	AN8268
Afu4g02650	ASPL0000037539	AN3204
Afu6g11980	ASPL0000015591	AN7869
Afu2g14570	ASPL0000043830	AN1795
Afu7g04110	ASPL0000033381	AN10702
Afu5g02660	ASPL0000051623	AN2606
Afu1g13330	ASPL0000060421	AN0673
Afu8g04670	ASPL0000045827	AN10193
Afu2g12610	ASPL0000007116	AN6272
Afu4g00800	ASPL0000065999	AN10891
Afu1g07480	ASPL0000033086	AN5130
Afu7g02170	ASPL0000033941	AN9095
Afu2g07500	ASPL0000007519	pepP
Afu5g07750	ASPL0000067324	AN7752
Afu4g03740	ASPL0000068280	AN7138
Afu3g08240	ASPL0000037961	AN2940
Afu5g03080	ASPL0000010754	aspC
